cboid,cbodesc,cbotrans,iscoid,iscodesc,cbo_currno,isco_currno
"0-20.20","Engenheiro agrônomo","Agricultural engineers","2213","Agronomists and related professionals",30,74
"0-20.40","Engenheiro florestal","Forestry engineers","2213","Agronomists and related professionals",31,74
"0-20.60","Engenheiro de pesca","Fishing engineers","2213","Agronomists and related professionals",32,74
"0-20.90","Outros engenheiros agrônomos, florestais e de pesca","Other agricultural, forestry and fishing engineers","2213","Agronomists and related professionals",33,74
"0-21","Engenheiros civis e arquitetos","","","",34,
"0-21.10","Engenheiro civil, em geral","Civil engineers, general","2142","Civil engineers",35,62
"0-21.15","Engenheiro civil (edificações)","Civil engineers (building construction)","2142","Civil engineers",36,62
"0-21.25","Engenheiro civil (construção de rodovias)","Civil engineers (highway construction)","2142","Civil engineers",37,62
"0-21.35","Engenheiro civil (construção de aeroportos)","Civil engineers (airport construction)","2142","Civil engineers",38,62
"0-21.45","Engenheiro civil (construção de ferrovias)","Civil engineers (railway construction)","2142","Civil engineers",39,62
"0-21.50","Engenheiro civil (construção de pontes e viadutos)","Civil engineers (bridge and viaduct construction)","2142","Civil engineers",40,62
"0-21.55","Engenheiro civil (construção de túneis)","Civil engineers (tunnel construction)","2142","Civil engineers",41,62
"0-21.60","Engenheiro civil (mecânica de solos)","Civil engineers (ground mechanics)","2142","Civil engineers",42,62
"0-21.65","Engenheiro civil (obras sanitárias)","Civil engineers (sanitary construction)","2142","Civil engineers",43,62
"0-21.70","Engenheiro civil (hidráulica)","Civil engineers (hydraulic)","2142","Civil engineers",44,62
"0-21.75","Arquiteto","Architects","2141","Architects, town and traffic planners",45,61
"0-21.80","Urbanista","Urban planners","2141","Architects, town and traffic planners",46,61
"0-21.85","Arquiteto paisagista","Landscape architects","2141","Architects, town and traffic planners",47,61
"0-21.90","Outros engenheiros civis e arquitetos","Other engineers and architects","2149","Architects, engineers and related professionals not elsewhere classified",48,69
"0-22","Engenheiros de operações e desenhistas industriais","","","",49,
"0-22.20","Engenheiro de operação (mecânica)","Operations engineers (mechanics)","2145","Mechanical engineers",50,65
"0-22.30","Engenheiro de operação (eletrotécnica)","Operations engineers (electrical)","2143","Electrical engineers",51,63
"0-22.40","Engenheiro de operação (eletrônica)","Operations engineers (electronics)","2144","Electronics and telecommunications engineers",52,64
"0-22.50","Engenheiro de operação (metalurgia)","Operations engineers (metallurgy)","2147","Mining engineers, metallurgists and related professionals",53,67
"0-22.60","Engenheiro de operação (têxtil)","Operations engineers (textiles)","2149","Architects, engineers and related professionals not elsewhere classified",54,69
"0-22.70","Desenhista industrial (designer)","Designers","2149","Architects, engineers and related professionals not elsewhere classified",55,69
"0-22.90","Outros engenheiros de operação e desenhistas industriais","Other operations engineers and designers","2149","Architects, engineers and related professionals not elsewhere classified",56,69
"0-23","Engenheiros eletricistas e engenheiros eletrônicos","","","",57,
"0-23.05","Engenheiro eletricista, em geral","Electrical engineers, general","2143","Electrical engineers",58,63
"0-23.10","Engenheiro eletrônico, em geral","Electronic engineers, general","2144","Electronics and telecommunications engineers",59,64
"0-23.20","Engenheiro eletricista (produção de energia)","Electrical engineers (energy production)","2143","Electrical engineers",60,63
"0-23.30","Engenheiro eletricista (distribuição de energia)","Electrical engineers (energy distribution)","2143","Electrical engineers",61,63
"0-23.33","Engenheiro eletricista (distribuição de energia)","Electrical engineers (energy distribution)","2143","Electrical engineers",62,63
"0-23.35","Engenheiro de manutenção (eletricidade e eletrônica)","Maintenance engineers (electrical and electronic)","2149","Architects, engineers and related professionals not elsewhere classified",63,69
"0-23.40","Engenheiro de telecomunicações","Telecommunications engineers","2144","Electronics and telecommunications engineers",64,64
"0-23.50","Engenheiro eletrônico (vídeo e áudio)","Electronic engineers (video and audio)","2144","Electronics and telecommunications engineers",65,64
"0-23.85","Tecnólogo em eletricidade e eletrônica","Electrical and electronic technicians","3113","Electrical engineering technicians",66,129
"0-23.90","Outros engenheiros eletricistas e engenheiros eletrônicos","Other electrical and electronic engineers","2149","Architects, engineers and related professionals not elsewhere classified",67,69
"0-24","Engenheiros mecânicos","","","",68,
"0-24.10","Engenheiro mecânico, em geral","Mechanical engineers, general","2145","Mechanical engineers",69,65
"0-24.15","Engenheiro mecânico (manutenção)","Mechanical engineers (maintenance)","2145","Mechanical engineers",70,65
"0-24.20","Engenheiro mecânico (máquinas e ferramentas)","Mechanical engineers (machinery and tools)","2145","Mechanical engineers",71,65
"0-24.30","Engenheiro mecânico (motores, exceto de embarcações)","Mechanical engineers (engines, except vessels)","2145","Mechanical engineers",72,65
"0-24.40","Engenheiro mecânico (motores de embarcações)","Mechanical engineers (vessel engines)","2145","Mechanical engineers",73,65
"0-24.45","Engenheiro mecânico (motores diesel)","Mechanical engineers (diesel engines)","2145","Mechanical engineers",74,65
"0-24.50","Engenheiro naval","Naval engineers","2145","Mechanical engineers",75,65
"0-24.60","Engenheiro aeronáutico","Aeronautics engineers","2145","Mechanical engineers",76,65
"0-24.65","Engenheiro mecânico (armamento)","Mechanical engineers (armaments)","2145","Mechanical engineers",77,65
"0-24.70","Engenheiro mecânico (veículos automotores)","Mechanical engineers (automobiles)","2145","Mechanical engineers",78,65
"0-24.80","Engenheiro mecânico (calefação, ventilação e refrigeração)","Mechanical engineers (ventilation, refrigeration)","2145","Mechanical engineers",79,65
"0-24.83","Tecnólogo em soldagem","Welding technicians","2145","Mechanical engineers",80,65
"0-24.85","Engenheiro mecânico (energia nuclear)","Mechanical engineers (nuclear engineers)","2145","Mechanical engineers",81,65
"0-24.90","Outros engenheiros mecânicos","Other mechanical engineers","2145","Mechanical engineers",82,65
"0-25","Engenheiros químicos","","","",83,
"0-25.10","Engenheiro químico, em geral","Chemical engineers, general","2146","Chemical engineers",84,66
"0-25.20","Engenheiro químico (petróleo)","Chemical engineers (petroleum)","2146","Chemical engineers",85,66
"0-25.30","Engenheiro químico (celulose, papel e papelão)","Chemical engineers (paper)","2146","Chemical engineers",86,66
"0-25.40","Engenheiro químico (borracha)","Chemical engineers (rubber)","2146","Chemical engineers",87,66
"0-25.50","Engenheiro químico (plástico)","Chemical engineers (plastic)","2146","Chemical engineers",88,66
"0-25.90","Outros engenheiros químicos","Other chemical engineers","2146","Chemical engineers",89,66
"0-26","Engenheiros metalúrgicos","","","",90,
"0-26.20","Engenheiros metalúrgicos (produção de metais)","Metallurgical engineers (metal)","2147","Mining engineers, metallurgists and related professionals",91,67
"0-26.30","Engenheiros metalúrgicos (tratamento de metais)","Metallurgical engineers (metal treatment)","2147","Mining engineers, metallurgists and related professionals",92,67
"0-26.90","Outros engenheiros metalúrgicos","Other metallurgical engineers","2147","Mining engineers, metallurgists and related professionals",93,67
"0-27","Engenheiros de minas e geólogos","","","",94,
"0-27.10","Engenheiro de minas, em geral","Mining engineers, general","2147","Mining engineers, metallurgists and related professionals",95,67
"0-27.20","Engenheiro de minas (carvão)","Mining engineers (charcoal)","2147","Mining engineers, metallurgists and related professionals",96,67
"0-27.30","Engenheiro de minas (minerais metálicos)","Mining engineers (mineral metals)","2147","Mining engineers, metallurgists and related professionals",97,67
"0-27.40","Engenheiro de minas (petróleo)","Mining engineers (petroleum)","2147","Mining engineers, metallurgists and related professionals",98,67
"0-27.50","Geólogo","Geologists","2114","Geologists and geophysicists",99,52
"0-27.60","Engenheiro de minas (concentração)","Mining engineers (concentration)","2147","Mining engineers, metallurgists and related professionals",100,67
"0-27.90","Outros engenheiros de minas e geólogos","Other mining engineers and geologists","2147","Mining engineers, metallurgists and related professionals",101,67
"0-28","Engenheiros de organização e métodos","","","",102,
"0-28.10","Engenheiro de organização e métodos, em geral","Organizational and methods engineers, general","2149","Architects, engineers and related professionals not elsewhere classified",103,69
"0-28.30","Engenheiro de tempos e movimentos","Time and movement engineers","2149","Architects, engineers and related professionals not elsewhere classified",104,69
"0-28.40","Engenheiro de segurança do trabalho","Job security engineers","2149","Architects, engineers and related professionals not elsewhere classified",105,69
"0-28.50","Engenheiro de controle de qualidade","Quality control engineers","2149","Architects, engineers and related professionals not elsewhere classified",106,69
"0-28.90","Outros engenheiros de organização e métodos","Other organizational and methods engineers","2149","Architects, engineers and related professionals not elsewhere classified",107,69
"0-29","Engenheiros, arquitetos e trabalhadores assemelhados não-classificados sob outra","","","",108,
"0-29.20","Engenheiro de cerâmica e vidros","Pottery and glass engineers","2149","Architects, engineers and related professionals not elsewhere classified",109,69
"0-29.35","Engenheiro agrimensor","Land measure engineering","2148","Cartographers and surveyors",110,68
"0-29.40","Engenheiro tecnólogo de alimentos e bebidas","Beverage and food technical engineers","2149","Architects, engineers and related professionals not elsewhere classified",111,69
"0-29.50","Engenheiro de tráfego","Traffic engineers","2141","Architects, town and traffic planners",112,61
"0-29.60","Engenheiro pesquisador","Survey engineers","2149","Architects, engineers and related professionals not elsewhere classified",113,69
"0-29.90","Outros engenheiros, arquitetos e trabalhadores assemelhados não-classificados so","Architects, engineers and related professionals n.e.c.","2149","Architects, engineers and related professionals not elsewhere classified",114,69
"0-3","TÉCNICOS, DESENHISTAS TÉCNICOS E TRABALHADORES ASSEMELHADOS","","","",115,
"0-30","Técnicos de contabilidade, estatística, economia doméstica e administração","","","",116,
"0-30.20","Técnico de contabilidade","Accountant clerks","3433","Bookkeepers",117,202
"0-30.30","Técnico de estatística","Statistical clerks","3434","Statistical, mathematical and related associate professionals",118,203
"0-30.40","Técnico de economia doméstica","Housekeeping clerks","5121","Housekeepers and related workers",119,263
"0-30.50","Técnico de administração","Administrative clerks","3431","Administrative secretaries and related associate professionals",120,200
"0-30.60","Técnico de administração em comércio exterior","Foreign trade administrators","3431","Administrative secretaries and related associate professionals",121,200
"0-30.90","Outros técnicos de contabilidade, estatística, economia doméstica e administraçã","Other accountants, statisticians, housekeeping and administrative technicians","3439","Administrative associate professionals not elsewhere classified",122,204
"0-31","Técnicos de biologia, agronomia e trabalhadores assemelhados","","","",123,
"0-31.10","Técnico agropecuário, em geral","Agricultural technicians, general","3213","Farming and forestry advisers",124,158
"0-31.20","Técnico agrícola","Agricultural technicians","3212","Agronomy and forestry technicians",125,157
"0-31.30","Técnico de pecuária","Cattle-raising technicians","3211","Life science technicians",126,156
"0-31.40","Técnico de laboratório de análises clínicas","Clinical analysis technicians","3111","Chemical and physical science technicians",127,127
"0-31.45","Laboratorista (análises clínicas)","Clinical analysts","3111","Chemical and physical science technicians",128,127
"0-31.50","Técnico de veterinária","Veterinary technicians","3227","Veterinary assistants",129,166
"0-31.60","Técnico de piscicultura","Fishery technicians","3211","Life science technicians",130,156
"0-31.90","Outros técnicos de biologia, agronomia e trabalhadores assemelhados","Other biological, agricultural and related technicians","3119","Physical and engineering science technicians not elsewhere classified",131,135
"0-32","Técnicos de mineração, metalurgia e geologia","","","",132,
"0-32.05","Técnico de mineração, em geral","Mining technicians, general","3117","Mining and metallurgical technicians",133,133
"0-32.10","Técnico metalúrgico, em geral","Metallurgical technicians","3117","Mining and metallurgical technicians",134,133
"0-32.12","Técnico de redução (primeira fusão)","Reduction technicians","3117","Mining and metallurgical technicians",135,133
"0-32.14","Técnico de aciaria","Steel mill technicians","3117","Mining and metallurgical technicians",136,133
"0-32.15","Técnico de refratário","Steel mill technicians","3117","Mining and metallurgical technicians",137,133
"0-32.16","Técnico de laminação","Lamination technicians","3117","Mining and metallurgical technicians",138,133
"0-32.18","Técnico de acabamento","Finish technicians","3117","Mining and metallurgical technicians",139,133
"0-32.19","Técnico de fundição (usinagem de peças de metais)","Fusing technicians","3117","Mining and metallurgical technicians",140,133
"0-32.20","Técnico de mineração (petróleo e gás natural)","Mining technicians (petroleum and natural gas)","3117","Mining and metallurgical technicians",141,133
"0-32.25","Tecnólogo em processo de produção e usinagem","Production and factoring technologists","3117","Mining and metallurgical technicians",142,133
"0-32.30","Técnico de geologia","Geological technicians","3117","Mining and metallurgical technicians",143,133
"0-32.90","Outros técnicos de mineração, metalurgia e geologia","Other mining, metallurgists and geologists technicians","3117","Mining and metallurgical technicians",144,133
"0-33","Técnicos de obras civis, agrimensura, estradas, saneamento e trabalhadores assem","","","",145,
"0-33.15","Técnico de obras civis","Civil construction technicians","3112","Civil engineering technicians",146,128
"0-33.30","Técnico de agrimensura","Land measure technicians","2148","Cartographers and surveyors",147,68
"0-33.50","Técnico de hidrografia","Hydrographic technicians","3112","Civil engineering technicians",148,128
"0-33.60","Técnico de estradas","Road technicians","3112","Civil engineering technicians",149,128
"0-33.70","Técnico de saneamento","Sanitary technicians","3112","Civil engineering technicians",150,128
"0-33.80","Topógrafo","Topographists","2148","Cartographers and surveyors",151,68
"0-33.90","Outros técnicos de obras civis, agrimensura, estradas, saneamento e trabalhadore","Other civil construction, road, sanitation and related construction workers","3112","Civil engineering technicians",152,128
"0-34","Técnicos de eletricidade, eletrônica e telecomunicações","","","",153,
"0-34.05","Eletrotécnico, em geral","Electrical technicians, general","3113","Electrical engineering technicians",154,129
"0-34.10","Técnico eletrônico, em geral","Electronics technicians","3114","Electronics and telecommunications engineering technicians",155,130
"0-34.30","Técnico de telecomunicações","Telecommunications technicians","3114","Electronics and telecommunications engineering technicians",156,130
"0-34.35","Técnico de manutenção elétrica","Electrical maintenance technicians","3113","Electrical engineering technicians",157,129
"0-34.36","Técnico de manutenção elétrica (máquinas e veículos automo­tores)","Electrical maintenance technicians (machinery and automobiles)","3113","Electrical engineering technicians",158,129
"0-34.40","Técnico de manutenção eletrônica","Electronics maintenance technicians","3114","Electronics and telecommunications engineering technicians",159,130
"0-34.42","Técnico de manutenção eletrônica (circuitos de máquinas com comando numérico)","Electronics maintenance technicians","3114","Electronics and telecommunications engineering technicians",160,130
"0-34.45","Técnico de manutenção de equipamento de comutação telefônica","Telephone equipment maintenance technicians","3114","Electronics and telecommunications engineering technicians",161,130
"0-34.47","Técnico de manutenção de equipamento de transmissão","Transmission equipment maintenance technicians","3114","Electronics and telecommunications engineering technicians",162,130
"0-34.50","Técnico de telefonia","Telephone technicians","3114","Electronics and telecommunications engineering technicians",163,130
"0-34.55","Técnico de transmissão","Transmission technicians","3114","Electronics and telecommunications engineering technicians",164,130
"0-34.60","Técnico de manipulação de tráfego telefônico","Telephone traffic manipulation technicians","3114","Electronics and telecommunications engineering technicians",165,130
"0-34.75","Inspetor de centrais privadas de comutação telefônica","Private centrals telephone technicians","3114","Electronics and telecommunications engineering technicians",166,130
"0-34.82","Analisador de tráfego telefônico","Telephone traffic analysts","3114","Electronics and telecommunications engineering technicians",167,130
"0-34.90","Outros técnicos de eletricidade, eletrônica e telecomunicações","Other electrical, electronic and telecommunications technicians","3119","Physical and engineering science technicians not elsewhere classified",168,135
"0-35","Técnicos de mecânica","","","",169,
"0-35.10","Técnico mecânico, em geral","Mechanical technicians, general","3115","Mechanical engineering technicians",170,131
"0-35.30","Técnico mecânico (aeronaves)","Mechanical technicians (aircraft)","3115","Mechanical engineering technicians",171,131
"0-35.40","Técnico mecânico (veículos automo­tores)","Mechanical technicians (automobiles)","3115","Mechanical engineering technicians",172,131
"0-35.50","Técnico mecânico (calefação, ventilação e refrigeração)","Mechanical technicians (ventilation, refrigeration)","3115","Mechanical engineering technicians",173,131
"0-35.60","Técnico mecânico (embarcações)","Mechanical technicians (vessels)","3115","Mechanical engineering technicians",174,131
"0-35.70","Técnico mecânico (motores)","Mechanical technicians (engines)","3115","Mechanical engineering technicians",175,131
"0-35.75","Técnico mecânico (máquinas)","Mechanical technicians (machinery)","3115","Mechanical engineering technicians",176,131
"0-35.90","Outros técnicos de mecânica","Other mechanical technicians","3115","Mechanical engineering technicians",177,131
"0-36","Técnicos de química e trabalhadores assemelhados","","","",178,
"0-36.05","Técnico químico, em geral","Chemical engineering technicians","3116","Chemical engineering technicians",179,132
"0-36.15","Técnico de laboratório de análises físico-químicas (petróleo)","Physics-chemistry laboratory analyst technicians","3111","Chemical and physical science technicians",180,127
"0-36.20","Técnico químico (petroquímica)","Chemical technicians (petroleum)","3116","Chemical engineering technicians",181,132
"0-36.30","Técnico de laboratório de análises físico-químicas (materiais de construção)","Physics-chemistry laboratory analyst technicians","3111","Chemical and physical science technicians",182,127
"0-36.40","Laboratorista industrial","Industrial laboratories","3116","Chemical engineering technicians",183,132
"0-36.50","Técnico em farmácia","Pharmacy technicians","3116","Chemical engineering technicians",184,132
"0-36.90","Outros técnicos de química e trabalhadores assemelhados","Other chemical technicians and related workers","3116","Chemical engineering technicians",185,132
"0-37","Técnicos têxteis","","","",186,
"0-37.10","Técnico têxtil, em geral","Textile technicians, general","3119","Physical and engineering science technicians not elsewhere classified",187,135
"0-37.20","Técnico têxtil (fiação)","Textile technicians","3119","Physical and engineering science technicians not elsewhere classified",188,135
"0-37.30","Técnico têxtil (tecelagem)","Textile technicians","3119","Physical and engineering science technicians not elsewhere classified",189,135
"0-37.40","Técnico têxtil (tratamentos químicos)","Textile technicians (chemical treatment)","3119","Physical and engineering science technicians not elsewhere classified",190,135
"0-37.50","Técnico têxtil (malharia)","Textile technicians","3119","Physical and engineering science technicians not elsewhere classified",191,135
"0-37.90","Outros técnicos têxteis","Other textile technicians","3119","Physical and engineering science technicians not elsewhere classified",192,135
"0-38","Desenhistas técnicos","","","",193,
"0-38.05","Desenhista técnico, em geral","Design technician, general","3118","Draughtspersons",194,134
"0-38.10","Desenhista técnico industrial","Industrial design technicians","3118","Draughtspersons",195,134
"0-38.20","Desenhista técnico (mecânica)","Design technicians (mechanics)","3118","Draughtspersons",196,134
"0-38.25","Desenhista técnico (calefação, ventilação e refrigeração)","Design technicians (architecture)","3118","Draughtspersons",197,134
"0-38.30","Desenhista técnico (eletricidade e eletrônica)","Design technicians (ventilation and refrigeration)","3118","Draughtspersons",198,134
"0-38.35","Desenhista técnico (construção civil)","Design technicians (electrical and electronic)","3118","Draughtspersons",199,134
"0-38.40","Desenhista técnico (indústria têxtil)","Design technicians (textile industry)","3118","Draughtspersons",200,134
"0-38.45","Desenhista técnico (arquitetura)","Design technicians (architecture)","3118","Draughtspersons",201,134
"0-38.50","Desenhista técnico (construção naval)","Design technicians (civil construction)","3118","Draughtspersons",202,134
"0-38.55","Desenhista técnico (cartografia)","Design technicians (cartography)","3118","Draughtspersons",203,134
"0-38.60","Desenhista técnico (ilustrações técnicas)","Design technicians (technical illustration)","3118","Draughtspersons",204,134
"0-38.65","Desenhista técnico (mobiliário)","Design technicians (furnishings)","3118","Draughtspersons",205,134
"0-38.70","Desenhista técnico (artes gráficas)","Design technicians (graphical arts)","3118","Draughtspersons",206,134
"0-38.75","Desenhista técnico (instalações hidrossanitárias)","Design technicians (sanitation installation)","3118","Draughtspersons",207,134
"0-38.80","Desenhista técnico (construção de aeronaves)","Design technicians (aircraft construction)","3118","Draughtspersons",208,134
"0-38.83","Desenhista projetista","Projection designers","3118","Draughtspersons",209,134
"0-38.84","Desenhista de ilustração","Illustration designers","3118","Draughtspersons",210,134
"0-38.85","Desenhista detalhista","Details designers","3118","Draughtspersons",211,134
"0-38.87","Desenhista copista","Designers","3118","Draughtspersons",212,134
"0-38.90","Outros desenhistas técnicos","Other design technicians","3118","Draughtspersons",213,134
"0-39","Técnicos e trabalhadores assemelhados não-classificados sob outras epígrafes","","","",214,
"0-39.30","Cronoanalista","Cronoanalysts","3119","Physical and engineering science technicians not elsewhere classified",215,135
"0-39.35","Técnico de planejamento de produção","Production planning technicians","3119","Physical and engineering science technicians not elsewhere classified",216,135
"0-39.37","Técnico de painel de controle","Control panel technicians","3119","Physical and engineering science technicians not elsewhere classified",217,135
"0-39.40","Cronometrista","Chronometric technicians","3119","Physical and engineering science technicians not elsewhere classified",218,135
"0-39.45","Técnico de segurança do trabalho","Occupational safety technicians","3119","Physical and engineering science technicians not elsewhere classified",219,135
"0-39.48","Técnico de serviço de apoio","Service support technicians","3119","Physical and engineering science technicians not elsewhere classified",220,135
"0-39.50","Técnico de meteorologia","Meteorological technicians","3119","Physical and engineering science technicians not elsewhere classified",221,135
"0-39.60","Técnico de cerâmica e vidros","Pottery and glasses technicians","3119","Physical and engineering science technicians not elsewhere classified",222,135
"0-39.65","Técnico de utilidade (produção e distribuição de vapor, gases, óleos, combustíve","Utility technicians (gas, oil, fuel, energy)","3119","Physical and engineering science technicians not elsewhere classified",223,135
"0-39.70","Técnico de celulose e papel","Paper technicians","3119","Physical and engineering science technicians not elsewhere classified",224,135
"0-39.75","Inspetor de produção","Production inspectors","3119","Physical and engineering science technicians not elsewhere classified",225,135
"0-39.80","Técnico de alimentos","Food technicians","3119","Physical and engineering science technicians not elsewhere classified",226,135
"0-39.82","Técnico de microfilmagem","Microfilm technicians","3139","Optical and electronic equipment operators not elsewhere classified",227,144
"0-39.83","Técnico gráfico","Graphical technicians","3139","Optical and electronic equipment operators not elsewhere classified",228,144
"0-39.84","Técnico em programação visual","Visual programming technicians","3139","Optical and electronic equipment operators not elsewhere classified",229,144
"0-39.85","Inspetor de qualidade","Quality inspectors","3152","Safety, health and quality inspectors",230,153
"0-39.87","Inspetor de risco","Risk inspectors","3152","Safety, health and quality inspectors",231,153
"0-39.88","Técnico eletromecânico","Electrical mechanics technicians","3123","Industrial robot controllers",232,139
"0-39.89","Técnico de matéria-prima e material","Materials technicians","3119","Physical and engineering science technicians not elsewhere classified",233,135
"0-39.90","Outros técnicos e trabalhadores assemelhados não-classificados sob outras epígra","Other technicians and related workers n.e.c.","3119","Physical and engineering science technicians not elsewhere classified",234,135
"0-4","OFICIAIS DE BORDO E TRABALHADORES ASSEMELHADOS (AVIAÇÃO COMERCIAL E MARINHA MERC","","","",235,
"0-41","Pilotos de aviação comercial, navegadores, mecânicos de vôo e trabalhadores asse","","","",236,
"0-41.20","Piloto comercial (linhas aéreas)","Commercial pilots (air lines)","3143","Aircraft pilots and related associate professionals",237,148
"0-41.30","Piloto comercial (exceto linhas aéreas)","Commercial pilots (not air lines)","3143","Aircraft pilots and related associate professionals",238,148
"0-41.35","Piloto de helicóptero","Helicopter pilots","3143","Aircraft pilots and related associate professionals",239,148
"0-41.40","Navegador de aeronave","Co-pilots","3143","Aircraft pilots and related associate professionals",240,148
"0-41.50","Mecânico de vôo","Flight mechanics","7232","Aircraft engine mechanics and fitters",241,356
"0-41.60","Instrutor de vôo","Flight instructors","3143","Aircraft pilots and related associate professionals",242,148
"0-41.70","Piloto de provas (aviação)","Trial pilots (aviation)","3143","Aircraft pilots and related associate professionals",243,148
"0-41.90","Outros pilotos de aviação comercial, navegadores, mecânicos de vôo e trabalhador","Other commercial flight pilots, sailors, mechanicals and related workers","3143","Aircraft pilots and related associate professionals",244,148
"0-42","Oficiais de bordo, pilotos e trabalhadores assemelhados (navegação marítima e in","","","",245,
"0-42.15","Comandante de embarcações (navegação marítima)","Ship commanders (coastal and deep-sea navigation)","3142","Ships' deck officers and pilots",246,147
"0-42.20","Comandante de embarcações (navegação interior)","Ship commanders (inland navigation)","3142","Ships' deck officers and pilots",247,147
"0-42.30","Oficial de navegação marítima e interior","Inland, coastal and deep-sea navigation officials","3142","Ships' deck officers and pilots",248,147
"0-42.40","Piloto-prático de navegação marítima e interior","Inland, coastal and deep-sea navigation captains","3142","Ships' deck officers and pilots",249,147
"0-42.50","Superintendente de aprovisionamento (navegação marítima e interior)","Supply superintendents (inland, coastal and deep-sea navigation)","8340","Ships' deck crews and related workers",250,501
"0-42.90","Outros oficiais de bordo, pilotos e trabalhadores assemelhados (navegação maríti","Other crew officials, pilots and related workers (inland, coastal and deep-sea n","8340","Ships' deck crews and related workers",251,501
"0-43","Oficiais-maquinistas (navegação marítima e interior)","","","",252,
"0-43.15","Primeiro oficial-maquinista (embarcações)","Engineers (vessels)","3141","Ships' engineers",253,146
"0-43.20","Oficial-maquinista (embarcações)","Engine-controlling officers (vessels)","3141","Ships' engineers",254,146
"0-43.30","Superintendente técnico (embarcações)","Technical superintendents (vessels)","3141","Ships' engineers",255,146
"0-43.90","Outros oficiais-maquinistas (navegação marítima e interior)","Other engine-controlling officers (inland, coastal and deep-sea navigation)","3141","Ships' engineers",256,146
"0-5","BIOLOGISTAS E TRABALHADORES ASSEMELHADOS","","","",257,
"0-51","Biologistas e trabalhadores assemelhados","","","",258,
"0-51.10","Biologista, em geral","Biologists, general","2211","Biologists, botanists, zoologists and related professionals",259,72
"0-51.20","Botânico","Botanists","2211","Biologists, botanists, zoologists and related professionals",260,72
"0-51.25","Ecólogo","Ecologists","2211","Biologists, botanists, zoologists and related professionals",261,72
"0-51.30","Zoólogo","Zoologists","2211","Biologists, botanists, zoologists and related professionals",262,72
"0-51.40","Anatomista","Anatomists","2211","Biologists, botanists, zoologists and related professionals",263,72
"0-51.50","Fisiologista","Physiologists","2211","Biologists, botanists, zoologists and related professionals",264,72
"0-51.90","Outros biologistas e trabalhadores assemelhados","Other biologists and associated workers","2211","Biologists, botanists, zoologists and related professionals",265,72
"0-52","Bacteriologistas, farmacologistas e trabalhadores assemelhados","Bacteriologists, pharmacologists and similar workers","","",266,
"0-52.30","Bioquímico","Biochemists","2212","Pharmacologists, pathologists and related professionals",267,73
"0-52.50","Bacteriologista","Bacteriologists","2212","Pharmacologists, pathologists and related professionals",268,73
"0-52.70","Farmacologista","Pharmacologists","2212","Pharmacologists, pathologists and related professionals",269,73
"0-52.90","Outros bacteriologistas, farmacologistas e trabalhadores assemelhados","Other bacteriologists, pharmacologists and similar workers","2212","Pharmacologists, pathologists and related professionals",270,73
